feature,fraud_mean,fn_mean,fn_std,deviation_from_fraud,abs_deviation
V193,1.2140771975348685,1.046999276934201,0.7860694904707665,-0.14049356689173145,0.14049356689173145
V153,1.116120661693156,0.9508315256688359,0.23856866924656883,-0.14035296218114482,0.14035296218114482
V2,1.031787220240026,1.0600144613159797,0.2690213809507787,0.14022642662473894,0.14022642662473894
V298,0.18488485241647745,0.279826464208243,0.8785542484946809,0.13857865449800846,0.13857865449800846
D11,65.28219266947778,79.69558929862617,132.21792967836558,0.13827738502309816,0.13827738502309816
V196,1.1618553357119688,1.007230657989877,0.12596284287793325,-0.13791204236568833,0.13791204236568833
V6,1.0304897826792085,1.057122198120029,0.26695385481297385,0.13779236429531763,0.13779236429531763
dist1,45.807006162828415,75.12219812002893,286.274794297137,0.1376920866881753,0.1376920866881753
V146,0.25202724618877714,0.04266088214027477,0.28529189859687565,-0.13738914320853496,0.13738914320853496
DeviceInfo,1441.6331495296788,1494.4519161243672,330.4241918575348,0.13726134159105657,0.13726134159105657
V252,1.1783976646123906,1.002892263195951,0.05372136229133798,-0.1363284216600926,0.1363284216600926
V260,1.0434641582873825,0.9833694866232827,0.2415241913684046,-0.1350593929200469,0.1350593929200469
V261,1.262082387285112,1.0462762111352133,0.5532683592457717,-0.13477369943607906,0.13477369943607906
V97,0.9403178722024003,1.18293564714389,2.0526212956279255,0.13316175120962925,0.13316175120962925
V37,1.4855660071359065,1.2986261749819235,1.313314701935037,-0.13246492986629324,0.13246492986629324
V131,50.297800800918644,75.5665075201447,229.36812673367547,0.13148611517052322,0.13148611517052322
V292,1.5076224456698022,1.7678958785249457,2.8384498960867983,0.1310510829798687,0.1310510829798687
V145,0.38663639312358095,0.13087490961677511,0.9576078347077188,-0.12928777776060735,0.12928777776060735
V111,1.0376256892637041,1.0093998553868402,0.09653100954181959,-0.1289637984952072,0.1289637984952072
V19,0.9195588712293221,0.8770788141720897,0.3945205359203086,-0.12864682460626253,0.12864682460626253
id_13,49.245215698994485,50.73969631236442,9.099477993983461,0.12864101319001672,0.12864101319001672
id_06,-4.226727213752838,-2.6319595083152567,11.144092014302945,0.12657504857840618,0.12657504857840618
V182,0.48297113201427183,0.18944323933477947,1.7279447214582846,-0.1260983288159033,0.1260983288159033
P_emaildomain,20.26337982484593,21.88358640636298,15.250353069657823,0.12564046882259838,0.12564046882259838
V144,0.23451183911774245,0.0650759219088937,0.37864787913510933,-0.12534636911048638,0.12534636911048638
V113,1.0382744080441129,1.0108459869848156,0.10361522314952998,-0.12454328652117799,0.12454328652117799
V312,66.43344444282017,93.88946956805535,240.69691562751737,0.12421076770274596,0.12421076770274596
V124,1.2251054168018165,1.1417208966015908,0.42209482431501405,-0.12346491426729524,0.12346491426729524
V283,1.8566331495296788,2.238611713665944,4.349697507197184,0.12339689541179723,0.12339689541179723
V253,1.2559195588712293,1.0361532899493855,0.7703779287083095,-0.1227369017428959,0.1227369017428959
V293,0.43561466104443725,0.5979754157628344,1.7632020788980736,0.12265965103127568,0.12265965103127568
id_32,24.526759649691858,24.289226319595084,1.4939117815707028,-0.11969978961922018,0.11969978961922018
id_16,0.12974375608173858,0.08966015907447578,0.2857976122409659,-0.11926950991647643,0.11926950991647643
V151,1.2046707752189425,1.039768618944324,0.5583290698026845,-0.11886321455654984,0.11886321455654984
V105,0.17645150827116446,0.25379609544468545,0.8290656827383699,0.11854346230142665,0.11854346230142665
V180,0.4949724294518326,0.2118582791033984,2.00883099618101,-0.1166947202600948,0.1166947202600948
V226,0.21537463509568602,0.05567606652205351,0.3535154676587039,-0.11642362412059423,0.11642362412059423
M7,0.04703211157963023,0.07158351409978309,0.2578902941911618,0.11594966262582569,0.11594966262582569
V112,1.0395718456049303,1.0137382501807664,0.11644447148588752,-0.11588070977467149,0.11588070977467149
V192,1.2400259487512164,1.0795372378886479,1.356564919911174,-0.11446758546990585,0.11446758546990585
V326,0.12617580278949075,0.2306579898770788,1.2752287900140749,0.11138336297590054,0.11138336297590054
V114,1.0632500810898475,1.0303687635574836,0.1758265819640777,-0.11054773485872886,0.11054773485872886
card2,365.40058384690235,382.5184381778742,156.51077666604814,0.10809562553927812,0.10809562553927812
C10,7.091144988647422,2.3969631236442517,30.3914531558481,-0.10704251291724602,0.10704251291724602
id_19,332.8125202724619,342.7346348517715,67.86176898352649,0.10689616097361682,0.10689616097361682
V56,1.430749270191372,1.6587129428778018,3.095081821642457,0.10633075085183777,0.10633075085183777
V108,1.036328251702887,1.0137382501807664,0.11644447148588752,-0.10526732457727421,0.10526732457727421
R_emaildomain,17.44404800518975,16.697758496023138,5.583834368963031,-0.10485052318144063,0.10485052318144063
