feature,xgb_gain,shap_mean_abs,perm_importance,mutual_info,xgb_gain_norm,shap_mean_abs_norm,perm_importance_norm,mutual_info_norm,composite_score
id_02,59.12818145751953,0.02386795,0.0003334682219418461,0.017045913487983233,0.008635142544778379,0.09277179,0.06594093502898571,0.49999159654012304,0.1668348662588938
R_emaildomain,108.607666015625,0.04419404,0.0013333732488082673,0.012471059844649135,0.01586117912613962,0.1717768,0.10613793173499048,0.36580175809699456,0.1648944175764643
V44,44.047420501708984,0.0031713168,0.0001256574909154873,0.019799204423419203,0.006432732165715534,0.012326519,0.05758677433762744,0.5807512655082044,0.164274322754137
V38,83.77472686767578,0.011234764,0.0017674396209081734,0.016203583060156568,0.012234550265544443,0.043668147,0.12358775352873397,0.4752843178295816,0.16369369220009103
V171,51.951385498046875,0.0007938603,-7.230955593375831e-05,0.020074683951023298,0.007587035625248646,0.0030856375,0.049628337769871606,0.5888316449444834,0.16228316395118075
M6,138.85726928710938,0.07856642,0.0022889003206013835,0.006041436316005067,0.02027886337979669,0.30537802,0.14455089849217972,0.17720771557149556,0.16185387431329873
V221,25.83738899230957,0.0013596782,-0.0001475387940438333,0.01971675795946992,0.0037733197848097756,0.005284902,0.046604061108334316,0.5783329416578488,0.15849880618125467
id_35,115.5877456665039,0.00087281625,1.2823687229879255e-05,0.019098017209454365,0.016880557386615123,0.0033925297,0.05305076350338819,0.5601840066850882,0.15837696431224146
C12,103.51744079589844,0.013624234,6.672133887892784e-05,0.017221464632384498,0.015117797217989035,0.052955724,0.05521749301027728,0.5051408715863394,0.15710797152838993
id_01,127.13821411132812,0.024424085,0.0006416119188953795,0.014659100177035311,0.018567400090405695,0.09493342,0.0783285626922198,0.42998146778842167,0.15545271274768505
V248,35.02507400512695,0.0002957186,1.0245443977541235e-05,0.019047763800335904,0.0051150990816955,0.0011494219,0.052947116024140796,0.5587099711472193,0.15448040204002142
V193,20.209705352783203,8.346966e-05,-1.962021869883479e-05,0.019013329088556574,0.00295144687706373,0.00032443632,0.051746492052895054,0.5576999304397452,0.1531805764219001
V264,21.570627212524414,0.0024497847,0.0005389036761872301,0.0178224866590857,0.0031501973537651534,0.009522012,0.07419960765860284,0.5227700800707049,0.15241047437949318
V212,53.252559661865234,0.00092442916,1.705677113337245e-05,0.01829123084936457,0.007777060484853481,0.0035931426,0.05322093692501626,0.536519308367074,0.15027761209674675
D9,33.976646423339844,0.008467577,-3.796345582223193e-05,0.01725648013589942,0.004961985601905607,0.032912433,0.051009078976237764,0.5061679481063759,0.14876286145798742
V192,41.46966552734375,0.00046825825,5.433810786192872e-06,0.018181912038334636,0.006056274085990091,0.0018200624,0.05275368444979491,0.5333127634730583,0.1484856961031026
V77,63.20143127441406,0.0032570744,-0.0002546626007916775,0.017986214885085117,0.00923000428282535,0.012659849,0.042297596802946806,0.5275725646764047,0.1479400036074645
V37,72.21765899658203,0.0033037388,-0.000777259153971821,0.01862618577388031,0.010546743774518301,0.012841227,0.021288789603942693,0.5463442231535808,0.14775524599910492
V213,39.78437423706055,0.00019347052,-3.8409602682865085e-05,0.0181704387016981,0.005810152352455561,0.0007519962,0.05099114350896297,0.5329762269825623,0.14763237975600588
V265,48.798606872558594,0.0028987806,7.838830690964915e-05,0.017543185578037468,0.00712660047956805,0.011267205,0.05568651463023021,0.5145776066355243,0.14716448162856957
C7,50.00617599487305,0.0021855182,2.8805684505961437e-05,0.017674355325121516,0.007302955159296359,0.008494841,0.053693252814473416,0.5184250842910076,0.14697903329991252
